%================================================================================,,,,,,
%FMDL	190511003047,,,,,,
%Vdevice,IdeviceAVG,IdeviceSTD,IdetectorAVG,IdetectorSTD,NumK6514,NumK6514Readloops
0.00E+00,-2.14E-09,9.22E-10,8.38E-12,5.14E-12,4.00E+00,1.00E+00
4.29E-01,8.29E-07,3.55E-08,1.83E-11,2.07E-12,4.00E+00,1.00E+00
8.57E-01,2.40E-06,2.85E-07,2.07E-12,3.48E-12,4.00E+00,1.00E+00
1.29E+00,3.25E-06,8.61E-08,6.14E-12,3.46E-12,4.00E+00,1.00E+00
1.71E+00,3.73E-06,2.10E-07,1.81E-11,1.94E-12,2.00E+00,1.00E+00
2.14E+00,5.91E-06,2.06E-07,2.28E-11,4.59E-10,9.00E+00,1.00E+00
2.57E+00,1.31E-05,8.38E-07,7.38E-12,4.86E-12,4.00E+00,1.00E+00
3.00E+00,1.49E-05,7.78E-07,1.62E-11,5.44E-12,4.00E+00,1.00E+00
3.43E+00,2.10E-05,9.08E-07,1.44E-11,2.29E-12,3.00E+00,1.00E+00
3.86E+00,1.94E-05,5.10E-07,-2.65E-11,5.50E-10,1.00E+01,0.00E+00
4.29E+00,3.15E-05,4.79E-07,2.03E-11,4.38E-10,1.00E+01,0.00E+00
4.71E+00,5.24E-05,5.01E-07,-4.44E-11,5.62E-10,9.00E+00,1.00E+00
5.14E+00,9.19E-05,8.17E-07,1.36E-10,5.42E-10,1.00E+01,0.00E+00
5.57E+00,1.50E-04,1.23E-06,3.47E-10,5.20E-10,1.00E+01,0.00E+00
6.00E+00,2.50E-04,1.49E-06,7.14E-10,5.47E-10,1.00E+01,0.00E+00
6.43E+00,4.14E-04,3.21E-06,3.43E-09,3.81E-09,1.00E+01,0.00E+00
6.86E+00,6.91E-04,2.94E-06,1.52E-08,2.05E-09,1.00E+01,0.00E+00
7.29E+00,1.13E-03,2.41E-06,2.81E-08,1.78E-09,1.00E+01,0.00E+00
7.71E+00,1.83E-03,7.37E-06,5.06E-08,1.67E-09,1.00E+01,0.00E+00
8.14E+00,2.95E-03,1.46E-05,8.81E-08,1.13E-09,1.00E+01,0.00E+00
8.57E+00,4.72E-03,3.72E-05,1.49E-07,1.62E-09,1.00E+01,0.00E+00
9.00E+00,7.45E-03,8.09E-05,2.41E-07,2.28E-09,1.00E+01,0.00E+00
