,wavelength,counts
0,435.0831578947368,12.568947368421053
1,440.08684210526314,28.568947368421057
2,445.0878947368421,41.93736842105263
3,450.08526315789476,73.62157894736842
4,455.07947368421054,136.88473684210524
5,460.071052631579,253.3584210526315
6,465.06052631578945,408.83210526315776
7,470.04578947368424,657.4110526315789
8,475.02894736842103,1014.6742105263158
9,480.00789473684216,1450.5163157894742
10,484.9852631578948,1905.7268421052634
11,489.95894736842104,2304.305789473683
12,494.93,2640.7268421052618
13,499.89894736842103,2894.5689473684197
14,504.9934999999999,3071.7899999999986
15,510.08684210526326,3171.832105263157
16,515.0452631578947,3227.7794736842093
17,520.0021052631579,3205.042631578946
18,524.9552631578948,3153.305789473683
19,529.9052631578946,3030.9373684210514
20,534.9805,2878.1899999999987
21,540.0599999999998,2720.989999999999
22,545.0,2546.621578947367
23,549.9373684210527,2376.621578947367
24,555.0000000000001,2201.339999999999
25,560.0626315789474,2019.2531578947371
26,564.9921052631578,1839.9900000000007
27,569.9168421052631,1680.4636842105272
28,574.97,1532.0400000000006
29,580.0194736842105,1379.6742105263165
30,584.9363157894737,1248.3057894736846
31,589.979,1128.4900000000002
32,595.018947368421,1016.5163157894738
33,599.9263157894736,902.8847368421051
34,604.9604999999999,814.9899999999999
35,609.9905263157896,723.726842105263
36,615.0180000000001,641.7399999999999
37,620.0410526315789,556.7794736842104
38,624.9336842105263,500.83210526315776
39,629.951,441.8899999999999
40,634.9657894736844,389.4110526315788
41,639.9769999999999,341.4399999999999
42,644.9852631578948,298.88473684210516
43,649.9894999999999,258.28999999999985
44,654.991052631579,228.35842105263146
45,659.9894999999999,198.88999999999993
46,664.9842105263158,168.51631578947362
47,669.9765,150.73999999999995
48,674.9652631578947,129.09526315789472
49,679.95,105.44000000000001
50,685.0600000000001,97.74000000000001
51,690.038947368421,85.30578947368421
52,695.0150000000001,72.78999999999999
53,699.9873684210528,62.51631578947368
54,704.9555000000001,58.79
55,710.048,43.290000000000006
56,715.0110526315791,36.46368421052632
57,719.9695,40.09
58,725.0530000000001,31.640000000000004
59,730.0047368421054,31.77947368421053
60,734.9535000000001,25.490000000000006
61,740.0260000000001,18.740000000000002
62,744.9699999999999,11.779473684210531
63,749.9075,6.990000000000004
64,754.9700000000003,12.490000000000004
65,760.0295,6.039999999999997
66,765.0839999999998,12.340000000000007
67,770.0089473684212,9.832105263157896
68,774.9319999999999,11.190000000000001
69,779.9770000000004,7.140000000000002
70,785.0179999999999,8.240000000000004
71,790.0565000000004,3.4399999999999977
72,795.0909999999998,4.789999999999999
73,799.9957894736842,1.0952631578947372
74,804.8970000000004,3.6399999999999992
75,809.9224999999997,14.240000000000004
76,814.9424999999999,-1.0099999999999991
77,819.9595000000002,-2.5599999999999996
78,824.9725000000002,0.1900000000000001
79,829.9830000000002,0.7899999999999999
